pais,anio,years_since_2016,porcentaje_internet,grupo_18 a 25 anos de edad,grupo_26 a 50 anos de edad,grupo_51 a 65 anos,grupo_66 anos en adelante,grupo_edad de medicion a 17 anos
Perú,2018,2,31,0,0,1,0,0
Perú,2018,2,10,0,0,0,1,0
Perú,2019,3,55,0,0,0,0,1
Perú,2019,3,86,1,0,0,0,0
Perú,2019,3,63,0,1,0,0,0
Perú,2019,3,36,0,0,1,0,0
Perú,2019,3,13,0,0,0,1,0
Perú,2020,4,68,0,0,0,0,1
Perú,2020,4,87,1,0,0,0,0
Perú,2020,4,69,0,1,0,0,0
Perú,2020,4,42,0,0,1,0,0
Perú,2020,4,18,0,0,0,1,0
Perú,2021,5,81,0,0,0,0,1
Perú,2021,5,91,1,0,0,0,0
Perú,2021,5,76,0,1,0,0,0
Perú,2021,5,48,0,0,1,0,0
Perú,2021,5,20,0,0,0,1,0
Perú,2022,6,72,0,0,0,0,1
Perú,2022,6,93,1,0,0,0,0
Perú,2022,6,80,0,1,0,0,0
Perú,2022,6,54,0,0,1,0,0
Perú,2022,6,23,0,0,0,1,0
Uruguay,2016,0,89,0,0,0,0,1
Uruguay,2016,0,90,1,0,0,0,0
Uruguay,2016,0,81,0,1,0,0,0
Uruguay,2016,0,58,0,0,1,0,0
Uruguay,2016,0,26,0,0,0,1,0
Uruguay,2017,1,90,0,0,0,0,1
Uruguay,2017,1,92,1,0,0,0,0
Uruguay,2017,1,87,0,1,0,0,0
Uruguay,2017,1,66,0,0,1,0,0
Uruguay,2017,1,33,0,0,0,1,0
Uruguay,2018,2,90,0,0,0,0,1
Uruguay,2018,2,95,1,0,0,0,0
Uruguay,2018,2,91,0,1,0,0,0
Uruguay,2018,2,73,0,0,1,0,0
Uruguay,2018,2,39,0,0,0,1,0
Uruguay,2019,3,91,0,0,0,0,1
Uruguay,2019,3,95,1,0,0,0,0
Uruguay,2019,3,93,0,1,0,0,0
Uruguay,2019,3,79,0,0,1,0,0
Uruguay,2019,3,44,0,0,0,1,0
